epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1738.88,0.93013,1.46491,1.23842,0.71069,0.52555,0.62864,0.45494,1.11085,1.41979,1.30123,8.154e-05,8.154e-05,8.154e-05
42,1781.36,0.9116,1.45971,1.2287,0.65779,0.57413,0.62042,0.45569,1.08605,1.43589,1.27742,8.02035e-05,8.02035e-05,8.02035e-05
43,1823.77,0.91883,1.44587,1.21942,0.64514,0.58965,0.61486,0.44556,1.08587,1.43187,1.27079,7.8867e-05,7.8867e-05,7.8867e-05
44,1866.86,0.91718,1.45098,1.23087,0.64484,0.58819,0.61009,0.45118,1.03152,1.44492,1.24472,7.75305e-05,7.75305e-05,7.75305e-05
45,1909.92,0.89812,1.41889,1.22829,0.65039,0.58068,0.6203,0.45195,1.07089,1.41749,1.28502,7.6194e-05,7.6194e-05,7.6194e-05
46,1951.81,0.89703,1.41672,1.21866,0.70989,0.57449,0.63227,0.46361,1.05796,1.4153,1.25607,7.48575e-05,7.48575e-05,7.48575e-05
47,1994.42,0.90454,1.38199,1.22243,0.6212,0.59423,0.63051,0.46643,1.04993,1.38481,1.2496,7.3521e-05,7.3521e-05,7.3521e-05
48,2037.02,0.89215,1.37369,1.21055,0.61411,0.60803,0.63383,0.47092,1.04992,1.39398,1.25041,7.21845e-05,7.21845e-05,7.21845e-05
49,2079.27,0.8859,1.36968,1.20126,0.70638,0.56543,0.64053,0.47805,1.02437,1.38383,1.23146,7.0848e-05,7.0848e-05,7.0848e-05
50,2121.61,0.88868,1.3332,1.19689,0.64656,0.59595,0.64574,0.4766,1.05122,1.3953,1.25682,6.95115e-05,6.95115e-05,6.95115e-05
51,2164.28,0.89628,1.36636,1.21682,0.66126,0.5815,0.62105,0.45908,1.09725,1.37868,1.28573,6.8175e-05,6.8175e-05,6.8175e-05
52,2206.08,0.88191,1.337,1.20451,0.66938,0.60058,0.63387,0.47174,1.06132,1.36351,1.25827,6.68385e-05,6.68385e-05,6.68385e-05
53,2247.16,0.88357,1.32782,1.20865,0.70351,0.56986,0.63654,0.47594,1.05188,1.35851,1.24261,6.5502e-05,6.5502e-05,6.5502e-05
